Job Type,Job URL,Title,Company,Experience,Salary,Location,Education,Skills,Role,Industry Type,Department,Employment Type,Role Category,Description
python-developer,https://www.naukri.com/job-listings-python-developer-devkraft-technologies-gurugram-0-to-4-years-250825005365,Python Developer,Devkraft Technologies,0 - 4 years,5-7.5 Lacs P.A.,Gurugram,EducationUG:Graduation Not Required,"[['Django', 'MySQL', 'Python Development', 'Numpy', 'Flask'], ['Data Structures', 'OOPS', 'Api Design And Development', 'SQL']]","Full Stack Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Temporary/Contractual",Software Development,"Position: Python Developer Location: Gurugram Experience Required: 0-1 Key Responsibilities Design, develop, and maintain web applications using Python frameworks such as Django and Flask . Build and optimize RESTful APIs for scalable application development. Work with SQL and NoSQL databases to design schemas, write queries, and ensure efficient data handling. Collaborate with cross-functional teams to gather requirements, design solutions, and deliver high-quality software. Apply strong knowledge of Python concepts , including data structures and object-oriented programming (OOP) , to solve complex problems. Use Git and related version control tools to manage and track code changes. Ensure application performance, scalability, and security through testing and best practices. Required Skills & Qualifications Strong proficiency in Python programming . Hands-on experience with web frameworks (Django, Flask). Solid understanding of SQL/NoSQL databases (e.g., MySQL, PostgreSQL, MongoDB). Proficiency in API development (RESTful or GraphQL). Strong foundation in data structures and OOP concepts . Experience with Git or other version control systems. Problem-solving mindset and ability to work in agile environments."
python-developer,https://www.naukri.com/job-listings-python-developer-infosys-limited-bengaluru-3-to-5-years-180825912031,Python Developer,Infosys,3 - 5 years,Not Disclosed,Bengaluru,EducationUG:B.Tech/B.E. in Production/IndustrialPG:Any Postgraduate,"[['agile methodology', 'python', 'python development', 'machine learning', 'sdlc'], ['css', 'test cases', 'performance engineering', 'bootstrap', 'jquery', 'sql', 'java', 'git', 'postgresql', 'oops', 'json', 'html', 'mysql', 'data structures', 'mongodb', 'rest', 'javascript', 'agile', 'design principles', 'aws']]","Back End Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Educational Requirements Bachelor of Engineering,Bachelor Of Technology Service Line Digital Experience Responsibilities Knowledge of design principles and fundamentals of architecture Understanding of performance engineering Knowledge of quality processes and estimation techniques Basic understanding of project domain Ability to translate functional / nonfunctional requirements to systems requirements Ability to design and code complex programs Ability to write test cases and scenarios based on the specifications Good understanding of SDLC and agile methodologies Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate Technical and Professional Requirements: Python Preferred Skills: Technology->Machine Learning->Python"
python-developer,https://www.naukri.com/job-listings-python-developer-hinduja-tech-chennai-0-to-1-years-200825025760,Python Developer,Hinduja Tech,0 - 1 years,Not Disclosed,Chennai,"EducationUG:B.Tech/B.E. in Computer Science Engineering, Computer Science, Computer Engineering, Computers","[['Git', 'AWS / Azure / GCP', 'FastAPI', 'RESTful APIs', 'Flask'], ['PostgreSQL/MySQL/SQLite', 'SQL / NoSQL', 'OAuth2', 'JWT', 'ReactJS/Angular/Vue']]","Other ,","IT Services & Consulting ,","Other ,","Full Time, Permanent",Other,"Please share your CV's to rezon.rhema@hindujatech.com Key Responsibilities: Develop, test, and maintain RESTful APIs using FastAPI. Write clean, efficient, and reusable code in Python. Integrate APIs with databases (SQL / NoSQL) and third-party services. Collaborate with frontend developers (ReactJS/Angular/Vue) to deliver end-to-end solutions. Debug and troubleshoot issues to ensure smooth functionality of applications. Learn and implement best practices in security, scalability, and performance optimization. Participate in code reviews and knowledge-sharing sessions. Required Skills: Strong knowledge of Python programming. Basic understanding of FastAPI or any Python web framework (Flask / Django). Familiarity with REST API concepts. Basic knowledge of SQL / relational databases (PostgreSQL/MySQL/SQLite). Understanding of JSON, HTTP methods, and client-server architecture. Good problem-solving and analytical skills. Ability to learn quickly and adapt to new technologies. Good to Have (Optional): Exposure to ReactJS/Angular/Vue or frontend integration. Knowledge of Docker / containerization basics. Understanding of authentication and authorization (JWT, OAuth2). Familiarity with Git / version control systems. Knowledge of cloud platforms (AWS / Azure / GCP) is a plus."
python-developer,https://www.naukri.com/job-listings-python-software-developer-infosys-infosys-hyderabad-pune-bengaluru-3-to-7-years-100625026739,Python Software Developer@Infosys,Infosys,3 - 7 years,Not Disclosed,"Hyderabad,Pune,Bengaluru","EducationUG:B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG:M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization, MCA in Any Specialization","[['Django', 'Python', 'Flask'], []]","Software Development - Other ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Responsibilities A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain. • You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements. • You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers. • You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Technical and Professional Requirements: • Primary skills: Technology->OpenSystem->Python - OpenSystem Preferred Skills: Technology->OpenSystem->Python - OpenSystem->Python Additional Responsibilities: • Knowledge of design principles and fundamentals of architecture • Understanding of performance engineering • Knowledge of quality processes and estimation techniques • Basic understanding of project domain • Ability to translate functional / nonfunctional requirements to systems requirements • Ability to design and code complex programs • Ability to write test cases and scenarios based on the specifications • Good understanding of SDLC and agile methodologies • Awareness of latest technologies and trends • Logical thinking and problem solving skills along with an ability to collaborate Educational Requirement s MCA, MSc, MTech ,Bachelor of Engineering, BCA, BSc, BTech"
python-developer,https://www.naukri.com/job-listings-python-developer-pan-india-infosys-hyderabad-chennai-bengaluru-9-to-14-years-220725020578,Python developer-pan India,Infosys,9 - 14 years,Not Disclosed,"Hyderabad,Chennai,Bengaluru",EducationUG:Graduation Not Required,"[['Machine Learning', 'Python'], ['Postgresql', 'Elastic Search']]","IT & Information Security - Other ,","IT Services & Consulting ,","IT & Information Security ,","Full Time, Permanent",IT & Information Security - Other,"Job description Hiring for Python Developer with experience range 9 to 17 years. Mandatory Skills: Python Developer-Python, Elasticsearch, PostgreSQL Education: BE/B.Tech/MCA/M.Tech/MSc./MSts"
python-developer,https://www.naukri.com/job-listings-python-developer-adshi5-com-chennai-0-to-1-years-200825013974,Python Developer,Adshi5.Com,0 - 1 years,Not Disclosed,Chennai,EducationUG:Any Graduate,"[['Python'], ['lancedb', 'mysql']]","Back End Developer ,","Software Product ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Position: Python Developer Responsibilities: Develop, test, and maintain scalable Python applications. Utilize Python libraries for efficient and effective code implementation. Design and implement RESTful APIs for seamless communication between components. Collaborate with the team to integrate the LangChain framework for blockchain functionalities. Manage and optimize databases, including MySQL and LanceDB. Take ownership of projects and contribute to the overall success of the development team. Technical Skills: Proficient in Python programming language. Experience with Python libraries (e.g., NumPy, Pandas, Requests) for various functionalities. Strong knowledge of RESTful API development. Familiarity with Flask for web application development. Working knowledge of LangChain framework for blockchain integration. Database expertise in MySQL and LanceDB. Advantage: Frontend development experience with React.js. Skills: python, lancedb, flask, MySQL"
python-developer,https://www.naukri.com/job-listings-python-developer-kaabil-finance-private-limited-jaipur-0-to-1-years-250825502257,Python Developer,Kaabil Finance,0 - 1 years,Not Disclosed,Jaipur,EducationUG:Any GraduatePG:Any Postgraduate,"[[], ['python', 'css', 'django', 'git', 'html', 'mongodb', 'programming', 'javascript']]","Full Stack Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Kaabil Finance is RBI registered NBFC We are a profitable, well funded and high growth company We are seeking a skilled Python Developer to join our team The ideal candidate will have experience in web development and possess strong problem-solving skills  Responsibilities: Develop and maintain web applications using Python Collaborate with cross-functional teams to design and implement new features Troubleshoot and debug issues in existing applications Write clean and efficient code Conduct code reviews and provide constructive feedback to team members Requirements: Proficient in Python programming language Experience in web development using frameworks such as Django or Flask Strong problem-solving skills Familiarity with front-end technologies such as HTML, CSS, and JavaScript Knowledge of database systems, such as MongoDB Understanding of version control systems, such as Git Excellent communication and teamwork skills Job Location: Jaipur Salary: Best in industry"
python-developer,https://www.naukri.com/job-listings-python-developer-atos-pune-bengaluru-3-to-6-years-230825013057,Python Developer,Atos,3 - 6 years,Not Disclosed,"Pune,Bengaluru",EducationUG:Any Graduate,"[['NoSQL', 'Python', 'SQL'], []]","Software Development - Other ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Jobs || Atos is Hiring Python Developer Experience: 3 to 6 years Location: Pune, Bangalore Job Description: Write clean, efficient, and scalable Python code Develop and maintain back-end components to improve performance Integrate user-facing elements with server-side logic Design and implement data storage solutions (SQL/NoSQL) Debug and troubleshoot issues across the application stack Ensure security and data protection best practices Collaborate with cross-functional teams to define and deliver technical solutions"
python-developer,https://www.naukri.com/job-listings-python-developer-kaabil-finance-private-limited-jaipur-0-to-1-years-250825502413,Python Developer,Kaabil Finance,0 - 1 years,Not Disclosed,Jaipur,EducationUG:Any GraduatePG:Any Postgraduate,"[[], ['python', 'django', 'git', 'mysql', 'web development', 'flask', 'mongodb', 'programming']]","Full Stack Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Kaabil Finance is RBI registered NBFC We are profitable, well funded and in high growth phase We are seeking a skilled Python Developer to join our team The ideal candidate will have experience in web development and possess strong problem-solving skills  Responsibilities: Develop and maintain web applications using Python Collaborate with cross-functional teams to design and implement new features Troubleshoot and debug issues in existing applications Write clean and efficient code Conduct code reviews and provide constructive feedback to team members Requirements: Proficient in Python programming language Experience in web development using frameworks such as Django or Flask Strong problem-solving skills Knowledge of database systems, such as MySQL and MongoDB Understanding of version control systems, such as Git Excellent communication and teamwork skills Job Location: Jaipur, Rajasthan Salary: Best in Industry"
python-developer,https://www.naukri.com/job-listings-python-developer-infosys-limited-bengaluru-9-to-11-years-190825913802,Python Developer,Infosys,9 - 11 years,Not Disclosed,Bengaluru,EducationUG:B.Tech/B.E. in Any SpecializationPG:Any Postgraduate,"[['python', 'business acumen', 'machine learning', 'gcp', 'sdlc'], ['css', 'python development', 'software configuration management', 'javascript', 'sql', 'functional testing', 'java', 'git', 'linux', 'jenkins', 'mainframe testing', 'html', 'mysql', 'agile', 'aws', 'digital transformation', 'agile methodology']]","Back End Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Educational Requirements Bachelor of Engineering Service Line Data & Analytics Unit Responsibilities A day in the life of an Infoscion As part of the Infosys consulting team, your primary role would be to lead the engagement effort of providing high-quality and value-adding consulting solutions to customers at different stages- from problem definition to diagnosis to solution design, development and deployment. You will review the proposals prepared by consultants, provide guidance, and analyze the solutions defined for the client business problems to identify any potential risks and issues. You will identify change Management requirements and propose a structured approach to client for managing the change using multiple communication mechanisms. You will also coach and create a vision for the team, provide subject matter training for your focus areas, motivate and inspire team members through effective and timely feedback and recognition for high performance. You would be a key contributor in unit-level and organizational initiatives with an objective of providing high-quality, value-adding consulting solutions to customers adhering to the guidelines and processes of the organization. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Additional Responsibilities: Good knowledge on software configuration management systems Strong business acumen, strategy and cross-industry thought leadership Awareness of latest technologies and Industry trends Logical thinking and problem solving skills along with an ability to collaborate Two or three industry domain knowledge Understanding of the financial processes for various types of projects and the various pricing models available Client Interfacing skills Knowledge of SDLC and agile methodologies Project and Team management Technical and Professional Requirements: Primary skills:Technology->Functional Testing->Mainframe testing->Proterm,Technology->Machine Learning->Python,Technology->OpenSystem->Python - OpenSystemPython Preferred Skills: Technology->OpenSystem->Python - OpenSystem->Python Technology->Machine Learning->Python Technology->Cloud Platform->GCP Database"
